"GEO_ID","NAME","P2_001N","P2_001NA","P2_002N","P2_002NA","P2_003N","P2_003NA","P2_004N","P2_004NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Urban","Annotation of  !!Total:!!Urban"," !!Total:!!Rural","Annotation of  !!Total:!!Rural"," !!Total:!!Not defined for this file","Annotation of  !!Total:!!Not defined for this file",
"0500000US01001","Autauga County, Alabama","58805","null","34885","null","23920","null","0","null",
"0500000US01003","Baldwin County, Alabama","231767","null","144654","null","87113","null","0","null",
"0500000US01005","Barbour County, Alabama","25223","null","8596","null","16627","null","0","null",
"0500000US01007","Bibb County, Alabama","22293","null","0","null","22293","null","0","null",
"0500000US01009","Blount County, Alabama","59134","null","5624","null","53510","null","0","null",
"0500000US01011","Bullock County, Alabama","10357","null","0","null","10357","null","0","null",
"0500000US01013","Butler County, Alabama","19051","null","5823","null","13228","null","0","null",
"0500000US01015","Calhoun County, Alabama","116441","null","73947","null","42494","null","0","null",
"0500000US01017","Chambers County, Alabama","34772","null","17127","null","17645","null","0","null",
"0500000US01019","Cherokee County, Alabama","24971","null","0","null","24971","null","0","null",
"0500000US01021","Chilton County, Alabama","45014","null","6507","null","38507","null","0","null",
"0500000US01023","Choctaw County, Alabama","12665","null","0","null","12665","null","0","null",
"0500000US01025","Clarke County, Alabama","23087","null","0","null","23087","null","0","null",
"0500000US01027","Clay County, Alabama","14236","null","0","null","14236","null","0","null",
"0500000US01029","Cleburne County, Alabama","15056","null","0","null","15056","null","0","null",
"0500000US01031","Coffee County, Alabama","53465","null","28053","null","25412","null","0","null",
"0500000US01033","Colbert County, Alabama","57227","null","34167","null","23060","null","0","null",
"0500000US01035","Conecuh County, Alabama","11597","null","0","null","11597","null","0","null",
"0500000US01037","Coosa County, Alabama","10387","null","0","null","10387","null","0","null",
"0500000US01039","Covington County, Alabama","37570","null","11716","null","25854","null","0","null",
"0500000US01041","Crenshaw County, Alabama","13194","null","0","null","13194","null","0","null",
"0500000US01043","Cullman County, Alabama","87866","null","21440","null","66426","null","0","null",
"0500000US01045","Dale County, Alabama","49326","null","24440","null","24886","null","0","null",
"0500000US01047","Dallas County, Alabama","38462","null","21207","null","17255","null","0","null",
"0500000US01049","DeKalb County, Alabama","71608","null","8380","null","63228","null","0","null",
"0500000US01051","Elmore County, Alabama","87977","null","25305","null","62672","null","0","null",
"0500000US01053","Escambia County, Alabama","36757","null","12761","null","23996","null","0","null",
"0500000US01055","Etowah County, Alabama","103436","null","58783","null","44653","null","0","null",
"0500000US01057","Fayette County, Alabama","16321","null","0","null","16321","null","0","null",
"0500000US01059","Franklin County, Alabama","32113","null","9939","null","22174","null","0","null",
"0500000US01061","Geneva County, Alabama","26659","null","149","null","26510","null","0","null",
"0500000US01063","Greene County, Alabama","7730","null","0","null","7730","null","0","null",
"0500000US01065","Hale County, Alabama","14785","null","0","null","14785","null","0","null",
"0500000US01067","Henry County, Alabama","17146","null","0","null","17146","null","0","null",
"0500000US01069","Houston County, Alabama","107202","null","70414","null","36788","null","0","null",
"0500000US01071","Jackson County, Alabama","52579","null","12982","null","39597","null","0","null",
"0500000US01073","Jefferson County, Alabama","674721","null","593276","null","81445","null","0","null",
"0500000US01075","Lamar County, Alabama","13972","null","0","null","13972","null","0","null",
"0500000US01077","Lauderdale County, Alabama","93564","null","44758","null","48806","null","0","null",
"0500000US01079","Lawrence County, Alabama","33073","null","2","null","33071","null","0","null",
"0500000US01081","Lee County, Alabama","174241","null","128259","null","45982","null","0","null",
"0500000US01083","Limestone County, Alabama","103570","null","50736","null","52834","null","0","null",
"0500000US01085","Lowndes County, Alabama","10311","null","0","null","10311","null","0","null",
"0500000US01087","Macon County, Alabama","19532","null","9003","null","10529","null","0","null",
"0500000US01089","Madison County, Alabama","388153","null","321770","null","66383","null","0","null",
"0500000US01091","Marengo County, Alabama","19323","null","6227","null","13096","null","0","null",
"0500000US01093","Marion County, Alabama","29341","null","0","null","29341","null","0","null",
"0500000US01095","Marshall County, Alabama","97612","null","45242","null","52370","null","0","null",
"0500000US01097","Mobile County, Alabama","414809","null","321907","null","92902","null","0","null",
"0500000US01099","Monroe County, Alabama","19772","null","4284","null","15488","null","0","null",
"0500000US01101","Montgomery County, Alabama","228954","null","200646","null","28308","null","0","null",
"0500000US01103","Morgan County, Alabama","123421","null","75981","null","47440","null","0","null",
"0500000US01105","Perry County, Alabama","8511","null","0","null","8511","null","0","null",
"0500000US01107","Pickens County, Alabama","19123","null","0","null","19123","null","0","null",
"0500000US01109","Pike County, Alabama","33009","null","14466","null","18543","null","0","null",
"0500000US01111","Randolph County, Alabama","21967","null","0","null","21967","null","0","null",
"0500000US01113","Russell County, Alabama","59183","null","35302","null","23881","null","0","null",
"0500000US01115","St. Clair County, Alabama","91103","null","29963","null","61140","null","0","null",
"0500000US01117","Shelby County, Alabama","223024","null","169571","null","53453","null","0","null",
"0500000US01119","Sumter County, Alabama","12345","null","0","null","12345","null","0","null",
"0500000US01121","Talladega County, Alabama","82149","null","33944","null","48205","null","0","null",
"0500000US01123","Tallapoosa County, Alabama","41311","null","8920","null","32391","null","0","null",
"0500000US01125","Tuscaloosa County, Alabama","227036","null","156450","null","70586","null","0","null",
"0500000US01127","Walker County, Alabama","65342","null","13274","null","52068","null","0","null",
